 ,Final Portfolio Value,Annual Return,Annual Volatility,Max Drawdown,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trading Cost,Number of Trades
Momentum Strategy,109347.40653123503,0.38841754441102777,0.1615917968930873,-0.068543829,2.4036959293670916,3.8882806868808992,6.644573174222522,0.005,3
Mean Reversion Strategy,96486.59199845491,-0.146319019,0.08837005167805351,-0.041717254,-1.65575346,-2.008771364,-3.343446784,0.011000000000000003,11
Breakout Strategy,100543.05781140085,0.025366721580373633,0.07305063585010375,-0.021500782,0.3472484706693707,0.5494146863975004,1.0700726982129323,0.013000000000000001,13
